40.77.167.4 site06.com - [29/Mar/2021:00:00:02 +0200] "GET /wp-includes/css/dist/block-library/theme.min.css?ver=5.6.2 HTTP/1.1" 200 741 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
178.33.234.205 site01.com - [29/Mar/2021:00:01:48 +0200] "GET /wp-login.php HTTP/1.1" 301 258 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
178.33.234.205 site01.com - [29/Mar/2021:00:01:48 +0200] "GET /wp-login.php HTTP/1.1" 404 196 "http://site01.com/wp-login.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
148.72.203.161 site02.com - [29/Mar/2021:00:04:15 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
47.52.151.237 site02.com - [29/Mar/2021:00:04:18 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla\\/5.0 (iPhone; CPU iPhone OS 8_0 like Mac OS X) AppleWebKit\\/600.1.3 (KHTML, like Gecko) Version\\/8.0 Mobile\\/12A4345d Safari\\/600.1.4"
2a03:6f00:1::5c35:60c8 site02.com - [29/Mar/2021:00:04:24 +0200] "GET / HTTP/1.1" 200 5639 "https://site02.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0"
2a02:4780:1:1::1:902d site02.com - [29/Mar/2021:00:05:07 +0200] "GET / HTTP/1.1" 200 1958 "-" "Salt 1.0"
208.113.210.212 site02.com - [29/Mar/2021:00:05:09 +0200] "GET / HTTP/1.1" 200 5639 "www.neutrality.wtf" "MozillaXYZ/1.0"
2600:3c03::f03c:91ff:fef1:eef9 site02.com - [29/Mar/2021:00:05:09 +0200] "GET / HTTP/1.1" 200 1958 "-" "Ruby, Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.8.1.6) Gecko/20070725 Firefox/2.0.0.6"
5.196.102.147 site02.com - [29/Mar/2021:00:05:13 +0200] "GET / HTTP/1.1" 200 1958 "http://capoeirairmandade.com/?wptouch_switch=desktop&redirect=https%3A%2F%2Fsite02.com%2F" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.104 Safari/537.36 Core/1.53.4882.400 QQBrowser/9.7.13076.400"
157.7.106.12 site02.com - [29/Mar/2021:00:05:15 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
59.106.13.114 site02.com - [29/Mar/2021:00:05:22 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
173.201.196.105 site02.com - [29/Mar/2021:00:05:37 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
157.7.106.113 site02.com - [29/Mar/2021:00:05:46 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
2001:e42:102:1814:160:16:225:231 site02.com - [29/Mar/2021:00:05:54 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
5.196.102.147 site02.com - [29/Mar/2021:00:05:59 +0200] "GET / HTTP/1.1" 200 1958 "http://foundation.hawthornfc.com.au/analytics/outbound?url=https://site02.com/" "Mozilla/5.0 (MSIE 9.0; qdesk 2.4.1266.203; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
157.7.105.243 site02.com - [29/Mar/2021:00:06:04 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
88.208.252.157 site02.com - [29/Mar/2021:00:06:07 +0200] "GET / HTTP/1.1" 200 5639 "http://www.internetsupervision.com/urlcheck" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; UrlCheck)"
12.171.94.54 site02.com - [29/Mar/2021:00:06:07 +0200] "GET / HTTP/1.1" 200 5639 "http://www.internetsupervision.com/urlcheck" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; UrlCheck)"
27.254.152.7 site02.com - [29/Mar/2021:00:06:07 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
76.80.187.66 site02.com - [29/Mar/2021:00:06:08 +0200] "GET / HTTP/1.1" 200 5639 "http://www.internetsupervision.com/urlcheck" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; UrlCheck)"
157.7.106.165 site02.com - [29/Mar/2021:00:06:11 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
157.7.104.92 site02.com - [29/Mar/2021:00:06:14 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
66.45.225.10 site02.com - [29/Mar/2021:00:06:40 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)"
5.196.102.147 site02.com - [29/Mar/2021:00:06:40 +0200] "GET / HTTP/1.1" 200 1958 "http://mezhdu.net/bitrix/rk.php?goto=https://site02.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36 OPR/53.0.2907.37"
87.236.20.102 site02.com - [29/Mar/2021:00:06:40 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
157.7.106.9 site02.com - [29/Mar/2021:00:06:42 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
133.18.66.21 site02.com - [29/Mar/2021:00:06:42 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
202.172.28.44 site02.com - [29/Mar/2021:00:06:45 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
157.7.106.104 site02.com - [29/Mar/2021:00:06:46 +0200] "GET / HTTP/1.1" 200 1958 "-" "-"
219.94.128.180 site02.com - [29/Mar/2021:00:06:46 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
210.188.201.173 site02.com - [29/Mar/2021:00:06:46 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
202.181.97.44 site02.com - [29/Mar/2021:00:06:52 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
2001:19f0:6001:c2d:5400:2ff:fe6a:c6df site02.com - [29/Mar/2021:00:06:53 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
219.94.128.161 site02.com - [29/Mar/2021:00:06:58 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
34.66.9.117 site02.com - [29/Mar/2021:00:07:02 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
185.195.25.72 site02.com - [29/Mar/2021:00:07:03 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
157.7.106.9 site02.com - [29/Mar/2021:00:07:06 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
150.95.9.18 site02.com - [29/Mar/2021:00:07:22 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
202.181.97.55 site02.com - [29/Mar/2021:00:07:27 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
157.7.188.161 site02.com - [29/Mar/2021:00:07:28 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
52.38.203.67 site02.com - [29/Mar/2021:00:07:30 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
2a03:b0c0:3:e0::193:2001 site02.com - [29/Mar/2021:00:07:40 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
182.93.125.101 site02.com - [29/Mar/2021:00:07:40 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
157.7.106.9 site02.com - [29/Mar/2021:00:07:43 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
59.106.19.195 site02.com - [29/Mar/2021:00:07:43 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
219.94.162.239 site02.com - [29/Mar/2021:00:07:43 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
122.28.38.215 site02.com - [29/Mar/2021:00:07:45 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
59.106.19.77 site02.com - [29/Mar/2021:00:07:45 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
2607:5300:61:768:: site02.com - [29/Mar/2021:00:07:47 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
157.7.106.102 site02.com - [29/Mar/2021:00:07:48 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
219.94.162.18 site02.com - [29/Mar/2021:00:07:50 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
91.196.124.230 site02.com - [29/Mar/2021:00:07:53 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
202.191.112.38 site02.com - [29/Mar/2021:00:07:53 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
91.196.124.230 site02.com - [29/Mar/2021:00:07:55 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
59.106.19.143 site02.com - [29/Mar/2021:00:07:55 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
59.106.171.52 site02.com - [29/Mar/2021:00:07:57 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
203.145.249.2 site02.com - [29/Mar/2021:00:07:57 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
157.7.106.16 site02.com - [29/Mar/2021:00:07:59 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
183.181.99.12 site02.com - [29/Mar/2021:00:08:03 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
157.7.188.248 site02.com - [29/Mar/2021:00:08:06 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
157.7.106.170 site02.com - [29/Mar/2021:00:08:06 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
5.196.102.147 site02.com - [29/Mar/2021:00:08:12 +0200] "GET / HTTP/1.1" 200 1958 "http://www.vicsport.org.au/analytics/outbound?url=https://site02.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; 360SE)"
82.165.80.130 site02.com - [29/Mar/2021:00:08:12 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
157.7.106.4 site02.com - [29/Mar/2021:00:08:15 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
150.60.10.1 site02.com - [29/Mar/2021:00:08:17 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
202.172.28.118 site02.com - [29/Mar/2021:00:08:17 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
5.196.102.147 site02.com - [29/Mar/2021:00:08:25 +0200] "GET / HTTP/1.1" 200 1958 "http://xn--d1abdw2b.net/bitrix/rk.php?id=326&site_id=s1&event1=banner&event2=click&event3=156+%2F+%5B326%5D+%5BNAVIGATOR_LEFT_2%5D+%D0%93%D1%80%D0%B0%D0%BD%D0%B8%D1%82&goto=https://site02.com/" "Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
211.10.17.2 site02.com - [29/Mar/2021:00:08:32 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
192.185.4.39 site02.com - [29/Mar/2021:00:08:46 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
59.106.19.179 site02.com - [29/Mar/2021:00:08:49 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
2001:67c:2070:c88e::1 site02.com - [29/Mar/2021:00:08:50 +0200] "GET / HTTP/1.1" 200 5639 "-" "PHP (www.dingo.com.ua), hosted by www.ukraine.com.ua"
2001:67c:2070:c88e::1 site02.com - [29/Mar/2021:00:08:51 +0200] "GET / HTTP/1.1" 200 5639 "-" "PHP (www.dingo.com.ua), hosted by www.ukraine.com.ua"
2001:67c:2070:c88e::1 site02.com - [29/Mar/2021:00:08:53 +0200] "GET / HTTP/1.1" 200 5639 "-" "PHP (www.dingo.com.ua), hosted by www.ukraine.com.ua"
2401:2500:102:3035:153:126:199:248 site02.com - [29/Mar/2021:00:09:01 +0200] "GET / HTTP/1.1" 200 1958 "http://www.yahoo.co.jp/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.16; rv:85.0) Gecko/20100101 Firefox/85.0"
133.18.34.65 site02.com - [29/Mar/2021:00:09:03 +0200] "GET / HTTP/1.1" 200 5639 "-" "LWP::Simple/5.64"
35.197.95.6 site02.com - [29/Mar/2021:00:09:04 +0200] "GET / HTTP/1.1" 200 1958 "https://jguitar.com/tabmap?url=https://site02.com/" "JGuitar.com Tab Mapper - http://jguitar.com/tabmap"
5.8.64.47 site02.com - [29/Mar/2021:00:09:22 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
85.13.130.114 site02.com - [29/Mar/2021:00:09:27 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
195.154.113.33 site02.com - [29/Mar/2021:00:09:32 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
34.232.82.54 site02.com - [29/Mar/2021:00:09:32 +0200] "GET / HTTP/1.1" 200 1958 "-" "hxl-proxy/tagger"
195.201.34.52 site02.com - [29/Mar/2021:00:09:43 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322)"
5.196.102.147 site02.com - [29/Mar/2021:00:09:45 +0200] "GET / HTTP/1.1" 200 1958 "https://vicsport.com.au/analytics/outbound?url=https://site02.com/" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.1b3) Gecko/20090405 Firefox/3.1b3"
193.29.104.29 site03.com - [29/Mar/2021:00:09:47 +0200] "GET /.git/config HTTP/1.1" 404 196 "-" "python-requests/2.22.0"
160.16.127.62 site02.com - [29/Mar/2021:00:09:51 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
5.196.102.147 site02.com - [29/Mar/2021:00:10:01 +0200] "GET / HTTP/1.1" 200 1958 "https://www.cossa.ru/bitrix/redirect.php?event1=click&event2=&event3=&goto=https://site02.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.183 Safari/537.36 Vivaldi/1.96.1147.42"
183.181.79.124 site02.com - [29/Mar/2021:00:10:09 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
183.90.241.121 site02.com - [29/Mar/2021:00:10:29 +0200] "GET / HTTP/1.1" 200 1958 "-" "MagpieRSS/0.72 (+http://magpierss.sf.net)"
128.210.7.86 site02.com - [29/Mar/2021:00:10:34 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
164.46.97.238 site02.com - [29/Mar/2021:00:10:38 +0200] "GET / HTTP/1.1" 200 5639 "-" "MagpieRSS/0.72 \\(+http://magpierss.sf.net\\)"
35.194.103.147 site02.com - [29/Mar/2021:00:10:53 +0200] "GET / HTTP/1.1" 200 5639 "-" "-"
75.101.141.105 site02.com - [29/Mar/2021:00:11:25 +0200] "HEAD / HTTP/1.1" 200 - "-" "Mozilla/4.0 (compatible; Virtuoso)"
54.158.227.214 site04.com - [29/Mar/2021:00:12:42 +0200] "GET / HTTP/1.1" 500 - "-" "Mozilla/5.0 (compatible; SurdotlyBot/1.0; +http://sur.ly/bot.html)"
2001:ac8:25:de::2c27:feb5 site05.com - [29/Mar/2021:00:14:51 +0200] "GET /.git/config HTTP/1.1" 404 196 "-" "python-requests/2.22.0"
148.72.203.161 site02.com - [29/Mar/2021:00:15:57 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36,gzip(gfe)"
47.52.151.237 site02.com - [29/Mar/2021:00:16:01 +0200] "GET / HTTP/1.1" 200 5639 "-" "Mozilla\\/5.0 (iPhone; CPU iPhone OS 8_0 like Mac OS X) AppleWebKit\\/600.1.3 (KHTML, like Gecko) Version\\/8.0 Mobile\\/12A4345d Safari\\/600.1.4"
2a03:6f00:1::5c35:60c8 site02.com - [29/Mar/2021:00:16:05 +0200] "GET / HTTP/1.1" 200 5639 "https://site02.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0"
2a02:4780:1:1::1:902d site02.com - [29/Mar/2021:00:16:37 +0200] "GET / HTTP/1.1" 200 1958 "-" "Salt 1.0"
208.113.210.212 site02.com - [29/Mar/2021:00:16:52 +0200] "GET / HTTP/1.1" 200 5639 "www.neutrality.wtf" "MozillaXYZ/1.0"
